id,category,service,serviceKey,plan,planKey,planType,addonName,addonKey,price,unit,duration,experts,description
FULLHOME_ESSENTIAL_CARE_SOFA_7,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Sofa Shampoo 7 Seater,sofa_shampoo_7_seater,825,per unit,60 mins,1,Intensive shampoo cleaning of large sofa set for deep dirt and stain removal
FULLHOME_ESSENTIAL_CARE_CLUTTER,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Care,essential_care,care,Clutter Removal,clutter_removal,600,per unit,60 mins,1,Assistance in removing and arranging clutter items before and after cleaning
FULLHOME_ESSENTIAL_MOVE_EXTRA_KITCHEN,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Extra Kitchen,extra_kitchen,899,per unit,60 mins,1,"Deep cleaning of additional kitchen area including platform, sink, and surface cleaning"
FULLHOME_ESSENTIAL_MOVE_EXTRA_ROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Extra Room,extra_room,599,per unit,60 mins,1,"Deep cleaning of additional room including dust removal, floor cleaning, and surface wiping"
FULLHOME_ESSENTIAL_MOVE_EXTRA_BATHROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Extra Bathroom,extra_bathroom,449,per unit,60 mins,1,"Deep cleaning of additional bathroom including tiles, fittings, and floor cleaning"
FULLHOME_ESSENTIAL_MOVE_UTENSIL_HANDLING,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Kitchen Utensil Handling,kitchen_utensil_handling,425,per unit,60 mins,1,Safe removal and placement of kitchen utensils before and after cleaning service
FULLHOME_ESSENTIAL_MOVE_FRIDGE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Fridge Interior Cleaning,fridge_interior_cleaning,375,per unit,60 mins,1,"Deep cleaning of fridge interior including trays, shelves, and odor removal"
FULLHOME_ESSENTIAL_MOVE_CHIMNEY,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Chimney Cleaning,chimney_cleaning,399,per unit,60 mins,1,Removal of grease and oil buildup from chimney exterior surfaces
FULLHOME_ESSENTIAL_MOVE_MICROWAVE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Microwave Cleaning,microwave_cleaning,175,per unit,60 mins,1,"Interior cleaning of microwave to remove stains, grease, and odor"
FULLHOME_ESSENTIAL_MOVE_MATTRESS,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Mattress Shampoo,mattress_shampoo,425,per unit,60 mins,1,"Wet shampoo cleaning of mattress to remove dust, stains, and allergens"
FULLHOME_ESSENTIAL_MOVE_SOFA_3,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Sofa Shampoo 3 Seater,sofa_shampoo_3_seater,425,per unit,60 mins,1,Wet shampoo cleaning of 3 seater sofa for dirt and stain removal
FULLHOME_ESSENTIAL_MOVE_SOFA_5,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Sofa Shampoo 5 Seater,sofa_shampoo_5_seater,625,per unit,60 mins,1,Deep shampoo cleaning of 5 seater sofa for thorough dirt and stain removal
FULLHOME_ESSENTIAL_MOVE_SOFA_7,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Sofa Shampoo 7 Seater,sofa_shampoo_7_seater,825,per unit,60 mins,1,Intensive shampoo cleaning of large sofa set for deep dirt and stain removal
FULLHOME_ESSENTIAL_MOVE_CLUTTER,Cleaning Services,Full Home Cleaning,full_home_cleaning,Essential Move,essential_move,move,Clutter Removal,clutter_removal,600,per unit,60 mins,1,Assistance in removing and arranging clutter items before and after cleaning
FULLHOME_PLATINUM_CARE_EXTRA_KITCHEN,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Extra Kitchen,extra_kitchen,899,per unit,60 mins,1,"Deep cleaning of additional kitchen area including platform, sink, and surface cleaning"
FULLHOME_PLATINUM_CARE_EXTRA_ROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Extra Room,extra_room,599,per unit,60 mins,1,"Deep cleaning of additional room including dust removal, floor cleaning, and surface wiping"
FULLHOME_PLATINUM_CARE_EXTRA_BATHROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Extra Bathroom,extra_bathroom,449,per unit,60 mins,1,"Deep cleaning of additional bathroom including tiles, fittings, and floor cleaning"
FULLHOME_PLATINUM_CARE_UTENSIL_HANDLING,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Kitchen Utensil Handling,kitchen_utensil_handling,425,per unit,60 mins,1,Safe removal and placement of kitchen utensils before and after cleaning service
FULLHOME_PLATINUM_CARE_FRIDGE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Fridge Interior Cleaning,fridge_interior_cleaning,375,per unit,60 mins,1,"Deep cleaning of fridge interior including trays, shelves, and odor removal"
FULLHOME_PLATINUM_CARE_CHIMNEY,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Chimney Cleaning,chimney_cleaning,399,per unit,60 mins,1,Removal of grease and oil buildup from chimney exterior surfaces
FULLHOME_PLATINUM_CARE_MICROWAVE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Microwave Cleaning,microwave_cleaning,175,per unit,60 mins,1,"Interior cleaning of microwave to remove stains, grease, and odor"
FULLHOME_PLATINUM_CARE_MATTRESS,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Mattress Shampoo,mattress_shampoo,425,per unit,60 mins,1,"Wet shampoo cleaning of mattress to remove dust, stains, and allergens"
FULLHOME_PLATINUM_CARE_SOFA_3,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Sofa Shampoo 3 Seater,sofa_shampoo_3_seater,425,per unit,60 mins,1,Wet shampoo cleaning of 3 seater sofa for dirt and stain removal
FULLHOME_PLATINUM_CARE_SOFA_5,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Sofa Shampoo 5 Seater,sofa_shampoo_5_seater,625,per unit,60 mins,1,Deep shampoo cleaning of 5 seater sofa for thorough dirt and stain removal
FULLHOME_PLATINUM_CARE_SOFA_7,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Sofa Shampoo 7 Seater,sofa_shampoo_7_seater,825,per unit,60 mins,1,Intensive shampoo cleaning of large sofa set for deep dirt and stain removal
FULLHOME_PLATINUM_CARE_CLUTTER,Cleaning Services,Full Home Cleaning,full_home_cleaning,Platinum Care,platinum_care,care,Clutter Removal,clutter_removal,600,per unit,60 mins,1,Assistance in removing and arranging clutter items before and after cleaning
FULLHOME_PREMIUM_CARE_EXTRA_KITCHEN,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Extra Kitchen,extra_kitchen,899,per unit,60 mins,1,"Deep cleaning of additional kitchen area including platform, sink, and surface cleaning"
FULLHOME_PREMIUM_CARE_EXTRA_ROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Extra Room,extra_room,599,per unit,60 mins,1,"Deep cleaning of additional room including dust removal, floor cleaning, and surface wiping"
FULLHOME_PREMIUM_CARE_EXTRA_BATHROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Extra Bathroom,extra_bathroom,449,per unit,60 mins,1,"Deep cleaning of additional bathroom including tiles, fittings, and floor cleaning"
FULLHOME_PREMIUM_CARE_UTENSIL_HANDLING,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Kitchen Utensil Handling,kitchen_utensil_handling,425,per unit,60 mins,1,Safe removal and placement of kitchen utensils before and after cleaning service
FULLHOME_PREMIUM_CARE_FRIDGE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Fridge Interior Cleaning,fridge_interior_cleaning,375,per unit,60 mins,1,"Deep cleaning of fridge interior including trays, shelves, and odor removal"
FULLHOME_PREMIUM_CARE_CHIMNEY,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Chimney Cleaning,chimney_cleaning,399,per unit,60 mins,1,Removal of grease and oil buildup from chimney exterior surfaces
FULLHOME_PREMIUM_CARE_MICROWAVE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Microwave Cleaning,microwave_cleaning,175,per unit,60 mins,1,"Interior cleaning of microwave to remove stains, grease, and odor"
FULLHOME_PREMIUM_CARE_MATTRESS,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Mattress Shampoo,mattress_shampoo,425,per unit,60 mins,1,"Wet shampoo cleaning of mattress to remove dust, stains, and allergens"
FULLHOME_PREMIUM_CARE_SOFA_3,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Sofa Shampoo 3 Seater,sofa_shampoo_3_seater,425,per unit,60 mins,1,Wet shampoo cleaning of 3 seater sofa for dirt and stain removal
FULLHOME_PREMIUM_CARE_SOFA_5,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Sofa Shampoo 5 Seater,sofa_shampoo_5_seater,625,per unit,60 mins,1,Deep shampoo cleaning of 5 seater sofa for thorough dirt and stain removal
FULLHOME_PREMIUM_CARE_SOFA_7,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Sofa Shampoo 7 Seater,sofa_shampoo_7_seater,825,per unit,60 mins,1,Intensive shampoo cleaning of large sofa set for deep dirt and stain removal
FULLHOME_PREMIUM_CARE_CLUTTER,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Care,premium_care,care,Clutter Removal,clutter_removal,600,per unit,60 mins,1,Assistance in removing and arranging clutter items before and after cleaning
FULLHOME_PREMIUM_MOVE_EXTRA_KITCHEN,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Extra Kitchen,extra_kitchen,899,per unit,60 mins,1,"Deep cleaning of additional kitchen area including platform, sink, and surface cleaning"
FULLHOME_PREMIUM_MOVE_EXTRA_ROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Extra Room,extra_room,599,per unit,60 mins,1,"Deep cleaning of additional room including dust removal, floor cleaning, and surface wiping"
FULLHOME_PREMIUM_MOVE_EXTRA_BATHROOM,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Extra Bathroom,extra_bathroom,449,per unit,60 mins,1,"Deep cleaning of additional bathroom including tiles, fittings, and floor cleaning"
FULLHOME_PREMIUM_MOVE_UTENSIL_HANDLING,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Kitchen Utensil Handling,kitchen_utensil_handling,425,per unit,60 mins,1,Safe removal and placement of kitchen utensils before and after cleaning service
FULLHOME_PREMIUM_MOVE_FRIDGE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Fridge Interior Cleaning,fridge_interior_cleaning,375,per unit,60 mins,1,"Deep cleaning of fridge interior including trays, shelves, and odor removal"
FULLHOME_PREMIUM_MOVE_CHIMNEY,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Chimney Cleaning,chimney_cleaning,399,per unit,60 mins,1,Removal of grease and oil buildup from chimney exterior surfaces
FULLHOME_PREMIUM_MOVE_MICROWAVE,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Microwave Cleaning,microwave_cleaning,175,per unit,60 mins,1,"Interior cleaning of microwave to remove stains, grease, and odor"
FULLHOME_PREMIUM_MOVE_MATTRESS,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Mattress Shampoo,mattress_shampoo,425,per unit,60 mins,1,"Wet shampoo cleaning of mattress to remove dust, stains, and allergens"
FULLHOME_PREMIUM_MOVE_SOFA_3,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Sofa Shampoo 3 Seater,sofa_shampoo_3_seater,425,per unit,60 mins,1,Wet shampoo cleaning of 3 seater sofa for dirt and stain removal
FULLHOME_PREMIUM_MOVE_SOFA_5,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Sofa Shampoo 5 Seater,sofa_shampoo_5_seater,625,per unit,60 mins,1,Deep shampoo cleaning of 5 seater sofa for thorough dirt and stain removal
FULLHOME_PREMIUM_MOVE_SOFA_7,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Sofa Shampoo 7 Seater,sofa_shampoo_7_seater,825,per unit,60 mins,1,Intensive shampoo cleaning of large sofa set for deep dirt and stain removal
FULLHOME_PREMIUM_MOVE_CLUTTER,Cleaning Services,Full Home Cleaning,full_home_cleaning,Premium Move,premium_move,move,Clutter Removal,clutter_removal,600,per unit,60 mins,1,Assistance in removing and arranging clutter items before and after cleaning
